Temperature_C,Humidity,Soil_Moisture,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Soil_pH,Irrigation_Need
18.54,58.78,21.61,513.5,4.62,18.99,5.92,Low
40.7,32.34,61.52,1211.67,9.19,4.46,6.41,Low
39.58,53.8,63.77,927.3,7.24,3.21,7.77,Low
18.15,57.54,18.55,2321.24,9.87,9.67,6.03,Low
37.98,93.12,18.53,799.58,7.23,12.03,6.59,Medium
23.92,72.81,9.37,264.93,7.26,18.82,4.87,Medium
32.24,94.55,36.41,1165.7,6.99,11.62,5.87,Medium
31.93,74.48,51.47,1714.38,8.74,2.99,7.6,Low
15.96,32.12,15.95,1694.93,10.41,15.01,6.61,Low
25.8,92.76,63.76,2195.4,8.58,5.19,7.59,Low
41.67,32.37,56.02,1645.27,5.43,15.74,7.11,Medium
38.14,47.55,31.39,343.69,8.47,7.37,8.1,Low
40.13,35.36,52.9,2487.78,4.96,13.51,6.63,Low
21.8,54.96,41.78,1699.15,10.42,5.46,5.28,Low
14.6,30.93,61.45,284.24,10.51,17.58,5.05,Low
25.43,46.92,17.22,2208.43,9.06,10.77,5.79,Low
27.32,49.01,51.27,1604.51,4.67,11.51,7.59,Low
26.43,87.93,44.61,310.5,7.27,13.94,5.34,Low
28.22,42.95,41.65,1660.38,6.0,14.18,5.19,Low
22.44,94.81,39.89,1368.0,8.55,2.16,7.72,Low
39.71,54.25,31.41,519.87,8.55,11.52,5.78,Medium
20.12,66.08,26.87,1535.43,11.0,11.92,7.48,Medium
33.66,64.07,39.08,2145.22,7.99,13.85,5.18,Low
13.33,68.65,24.9,808.44,5.9,1.31,5.78,Medium
15.27,52.03,49.76,2350.73,4.62,9.03,6.86,Low
34.09,27.63,44.4,1390.37,5.38,0.65,6.52,Low
23.24,54.12,8.95,2368.24,4.11,12.08,6.53,Low
24.24,67.03,28.8,840.17,7.28,1.28,6.53,Low
14.04,27.67,46.29,1370.62,9.39,5.9,6.56,Low
21.19,73.77,42.23,320.05,9.6,1.67,7.37,Low
29.08,93.26,44.29,1025.05,8.77,13.23,5.7,Medium
12.75,86.23,34.27,1398.45,9.84,9.25,7.14,Low
32.9,27.31,29.9,145.69,8.04,12.63,6.75,Medium
20.55,44.22,46.39,2221.58,7.39,3.85,8.0,Low
17.91,75.94,34.92,502.82,9.6,18.51,7.77,Low
12.2,83.73,57.37,1573.0,4.09,19.49,7.97,Low
32.47,39.13,47.54,1914.71,7.72,18.64,7.87,Medium
12.62,26.76,43.5,1038.48,8.69,3.99,5.63,Low
25.93,48.59,55.61,1522.3,9.54,18.84,5.59,Medium
16.0,88.76,53.47,956.77,10.06,3.53,5.31,Low
28.11,66.03,23.19,120.85,7.93,19.31,6.71,Medium
28.92,93.2,34.21,1812.49,6.41,5.59,5.96,Low
16.38,46.87,57.61,856.14,5.39,1.15,7.56,Low
28.38,71.6,49.38,1707.19,7.81,7.45,6.6,Low
14.76,74.23,25.61,1759.99,7.56,4.96,5.92,Low
35.94,73.4,11.54,248.95,9.12,17.8,5.96,Medium
20.34,41.24,27.31,2360.05,10.87,18.11,6.38,Low
12.27,77.84,25.37,1348.75,5.12,7.26,6.07,Low
29.92,86.23,38.31,22.27,5.74,12.68,8.15,Low
36.28,45.39,32.99,550.47,4.97,19.55,5.98,Low
29.13,72.75,52.18,2355.99,5.18,8.92,5.51,Low
37.03,33.91,64.9,929.72,9.56,6.01,6.65,Low
32.9,28.77,32.26,1248.97,7.08,3.84,5.6,Low
13.49,40.43,20.72,1560.63,7.72,16.74,6.2,Medium
30.94,37.82,48.29,1986.09,7.03,8.05,6.39,Medium
30.67,92.63,57.99,1485.99,6.25,18.28,7.72,Medium
32.44,78.0,45.67,1090.2,5.2,18.58,6.51,Medium
27.24,37.0,43.08,2146.56,7.1,13.37,6.92,Medium
13.56,55.81,11.44,75.43,5.62,13.54,5.7,High
40.79,66.67,22.02,1865.97,8.03,1.53,4.94,Medium
32.12,90.25,8.59,642.23,8.54,3.67,5.21,Low
19.15,29.48,8.26,1855.55,8.01,2.85,7.65,Medium
12.1,80.02,9.54,851.07,8.47,3.07,5.0,Medium
40.66,52.15,21.5,1097.65,6.25,15.79,5.9,Medium
32.53,94.26,17.11,1354.61,6.84,2.39,5.94,Medium
14.75,68.22,29.66,1371.71,10.17,13.86,5.66,Low
30.71,65.89,20.39,218.7,5.09,5.72,7.71,High
32.56,26.11,64.62,119.84,8.57,4.69,7.69,Medium
21.17,27.45,51.91,1552.94,8.57,15.57,5.29,Low
13.54,66.4,61.52,1504.64,7.18,15.74,5.42,Low
18.65,41.56,23.66,1337.96,8.36,2.97,6.52,Low
18.04,28.05,43.88,2145.1,6.0,8.9,5.89,Low
31.43,92.46,35.27,1134.82,5.92,15.08,4.99,Low
31.67,27.64,64.71,1137.86,4.38,6.92,7.97,Low
20.42,88.96,63.83,1418.13,8.24,5.0,5.44,Low
17.32,66.22,52.56,1318.97,9.74,10.65,6.42,Medium
33.48,57.48,38.63,922.22,4.02,18.04,5.33,Medium
20.17,47.19,17.15,2035.16,7.47,16.06,7.02,Medium
14.42,41.42,20.73,2155.23,7.49,8.48,6.46,Medium
24.83,67.86,48.04,1095.74,10.21,12.03,8.02,Low
13.05,37.25,37.99,1123.79,9.33,13.81,8.07,Low
41.99,48.43,57.07,2159.66,6.89,12.71,6.73,Low
17.78,46.36,24.32,875.45,7.56,6.72,7.55,Medium
13.85,27.96,51.03,285.68,5.97,13.91,7.59,Medium
29.73,33.65,17.13,499.89,7.08,13.44,7.63,Medium
18.07,51.18,25.19,2091.66,7.52,2.53,7.11,Low
26.33,27.11,18.62,689.81,4.03,7.51,7.75,Low
22.32,73.65,18.29,600.25,6.71,19.88,8.19,Medium
40.79,76.38,12.88,643.77,10.69,18.78,6.34,High
16.44,55.04,31.27,640.62,9.96,2.28,5.28,Low
36.98,26.57,13.33,771.45,6.9,15.19,5.28,Medium
27.71,50.56,38.52,1624.35,7.78,4.76,5.54,Low
39.44,33.18,31.29,581.01,4.18,9.19,7.78,Medium
15.74,35.45,52.81,1747.02,9.53,18.09,5.44,Low
22.45,69.29,37.75,2402.28,4.3,6.09,6.54,Low
40.51,46.49,17.14,2415.11,4.8,1.98,6.48,Medium
39.26,56.18,47.95,1742.51,5.27,7.77,7.19,Low
15.05,32.7,29.77,1686.33,4.92,6.2,6.48,Low
37.33,78.88,46.91,1366.61,7.03,14.04,5.23,Low
20.98,53.23,43.9,1905.4,5.28,14.08,7.72,Low
35.28,39.85,22.74,1163.04,8.08,7.14,6.24,Low
27.55,37.01,46.7,553.65,7.29,10.92,6.38,Low
37.34,57.1,41.57,205.68,6.97,3.42,7.7,Medium
35.72,73.2,43.63,1494.82,7.78,8.55,7.12,Medium
38.57,46.34,56.58,1791.79,10.88,4.22,6.32,Low
31.18,26.83,54.35,1823.72,6.02,15.35,6.04,Low
33.46,28.88,17.22,2089.15,6.95,9.86,6.54,Medium
29.83,56.16,42.06,840.77,9.23,4.88,5.12,Low
28.92,63.44,17.69,2448.5,4.25,16.0,6.05,Low
30.6,81.93,19.04,307.9,4.24,11.65,5.74,Medium
25.07,32.66,39.2,980.96,9.83,8.03,6.26,Low
22.98,79.45,41.5,2432.27,4.16,8.03,7.06,Low
13.22,59.18,45.23,1471.25,8.81,17.75,6.25,Low
23.53,91.8,42.84,498.16,5.28,8.95,7.2,Low
15.79,78.54,55.67,1771.3,4.24,5.1,6.56,Low
40.91,89.85,64.11,2457.89,6.3,6.98,6.62,Medium
22.97,51.78,32.95,2248.68,10.35,0.56,7.41,Low
30.1,50.45,20.03,732.17,4.54,14.53,7.09,High
37.27,39.85,44.12,1391.25,10.66,19.53,7.08,Low
12.06,93.62,22.65,1647.76,7.53,5.16,6.94,Low
38.08,50.57,35.19,2295.47,8.28,5.75,6.53,Medium
31.32,53.03,34.15,2369.35,8.45,12.75,4.8,Low
39.56,62.06,36.55,1139.89,7.22,19.22,6.2,Medium
26.1,53.25,45.06,1043.84,10.89,13.0,8.19,Medium
12.51,49.19,57.1,248.59,4.18,8.13,7.09,Medium
19.51,51.19,25.69,584.79,7.68,13.01,5.88,Medium
22.27,75.28,26.94,1309.64,4.05,15.11,5.02,Medium
28.41,82.7,22.67,1787.85,6.34,7.99,5.55,Medium
30.68,39.9,63.0,226.09,6.41,16.79,6.27,Medium
35.12,32.94,34.9,762.65,7.54,4.45,8.1,Low
41.1,90.03,16.26,157.86,9.35,9.31,6.41,High
20.02,43.32,60.51,1077.09,8.11,19.83,6.94,Medium
37.1,90.78,64.17,1206.61,10.11,15.05,5.02,Medium
31.5,64.83,44.33,2397.01,4.03,3.05,7.12,Low
13.96,70.93,13.45,1237.92,9.8,14.66,6.68,Medium
15.48,35.6,32.85,851.66,4.93,2.09,6.2,Low
20.41,65.69,63.65,89.12,9.09,12.91,6.62,Medium
13.88,25.33,20.09,2126.94,8.75,3.38,6.32,Medium
38.42,83.53,36.93,485.41,5.64,1.42,7.53,Low
21.89,47.11,36.9,1064.48,8.19,4.52,7.99,Low
31.01,34.62,54.83,598.88,5.48,9.75,5.07,Low
20.09,66.7,31.57,1554.8,6.86,4.42,6.43,Low
12.66,44.02,47.52,761.96,4.32,15.22,7.37,Low
18.67,49.44,27.36,260.84,7.93,5.95,4.93,Medium
21.47,30.08,38.48,1547.16,4.12,4.37,6.6,Low
21.38,48.24,25.51,2331.76,9.65,6.71,7.61,Low
24.64,63.09,60.94,122.88,7.41,11.43,7.15,Medium
27.07,66.98,41.17,319.9,8.04,14.25,7.13,Low
28.71,82.19,19.51,1585.95,5.62,14.48,6.15,Medium
17.13,50.12,18.15,454.46,10.67,9.86,7.01,Low
26.5,61.7,49.79,952.61,7.27,13.42,7.31,Low
30.07,32.75,64.17,112.68,4.96,7.57,4.85,Low
21.67,25.31,33.77,1479.72,10.1,2.57,6.63,Low
19.04,70.16,9.01,1271.56,10.87,7.18,6.71,Low
18.97,71.14,59.64,1605.06,6.95,7.68,5.67,Low
39.52,56.56,63.93,116.72,7.45,18.78,5.23,Medium
26.97,94.87,58.12,2085.38,7.67,8.15,6.04,Low
12.49,29.54,63.3,1638.14,4.84,8.64,5.04,Low
23.22,85.53,34.72,2293.39,9.02,13.6,7.58,Low
28.1,85.05,62.17,459.91,10.46,1.67,6.25,Low
16.72,85.75,55.35,120.75,6.75,19.77,4.92,Low
13.53,36.28,13.54,577.85,4.82,8.5,6.8,Low
37.3,44.22,18.55,1329.64,6.0,12.81,5.28,Medium
30.37,55.11,32.41,553.59,9.51,16.06,7.51,Low
34.06,31.66,46.23,1995.93,10.22,12.87,6.77,Low
33.47,89.33,34.64,2400.51,9.0,4.33,6.18,Low
35.08,70.41,36.44,2321.47,10.26,1.21,5.44,Medium
25.54,60.57,53.41,950.32,10.69,10.27,7.14,Low
35.28,87.94,8.53,861.24,8.51,11.14,5.15,Medium
39.97,57.45,35.6,1422.95,6.78,7.02,6.37,Medium
12.78,47.15,62.24,19.21,10.85,3.45,7.09,Medium
33.34,91.98,57.54,2355.75,9.34,8.33,7.34,Low
12.34,47.89,52.99,2189.71,10.04,14.34,5.63,Low
12.43,38.32,10.44,1959.67,7.82,14.89,6.14,Medium
27.71,51.31,38.64,2283.55,10.03,1.14,7.99,Low
30.09,57.23,60.36,2285.0,4.88,14.85,5.72,Low
26.66,44.47,40.6,914.34,8.74,11.3,6.01,Low
22.47,55.37,18.35,2027.23,10.64,6.69,4.8,Medium
21.11,89.96,43.06,2094.96,10.43,3.77,6.37,Low
34.95,38.06,28.4,869.18,7.59,6.78,7.16,Medium
31.41,81.48,63.87,1073.1,8.18,7.04,7.36,Low
31.47,82.64,12.51,1728.79,5.45,17.95,7.56,High
39.18,39.58,28.62,2460.88,6.65,12.3,6.42,Low
21.33,25.42,25.43,1557.45,9.76,10.22,6.55,Low
17.91,68.94,11.32,362.82,9.44,18.13,6.8,Medium
18.73,47.1,28.1,2305.37,6.78,14.21,5.48,Low
30.55,91.11,36.92,858.17,6.69,17.55,5.11,Low
33.16,43.19,39.22,2167.82,6.03,18.64,7.49,Medium
28.1,86.37,30.14,457.03,10.93,18.5,6.44,Medium
41.69,26.57,57.47,2403.47,8.01,9.56,7.35,Low
32.78,47.38,42.62,1903.42,6.29,4.6,6.6,Low
39.29,46.39,43.4,998.09,4.87,11.29,7.4,Medium
32.27,75.68,42.86,2019.47,6.08,16.82,5.43,Low
25.86,47.4,54.94,2103.84,8.31,18.09,6.96,Low
34.62,86.94,52.5,622.62,9.72,4.81,5.12,Medium
41.41,74.95,61.26,1560.19,8.36,19.73,6.73,Low
15.67,37.12,40.09,1515.15,9.55,18.42,5.5,Medium
36.14,30.37,26.71,725.09,8.55,7.61,5.87,Medium
37.97,36.62,12.04,1061.21,6.52,8.05,6.34,Low
30.0,93.68,13.13,1106.25,8.05,11.26,8.03,Medium
23.05,30.86,23.17,2258.24,5.92,18.69,6.94,Medium
39.26,26.71,41.25,342.29,4.43,6.25,7.74,Low
39.58,56.41,63.34,1240.36,7.07,14.67,6.09,Medium
14.53,39.69,28.52,2235.42,5.96,16.18,5.73,Low
35.57,25.33,59.9,148.16,6.05,7.16,6.73,Low
19.14,45.77,52.66,305.13,10.77,10.13,6.25,Low
18.54,38.73,44.76,2220.93,4.46,12.71,7.61,Low
17.72,35.42,52.99,856.19,8.07,4.12,5.38,Low
34.8,62.2,10.43,1440.62,4.59,6.44,5.83,Medium
41.35,92.88,36.48,61.76,7.75,9.17,5.71,Medium
25.79,32.37,10.39,2421.27,10.51,0.67,5.55,Low
14.0,31.45,49.12,535.6,6.69,17.86,6.12,Low
34.16,87.02,36.07,841.0,9.53,7.21,5.89,Low
16.03,50.01,18.41,1203.74,7.63,14.88,6.36,Low
34.71,26.57,51.05,431.04,4.24,19.36,6.6,Low
33.27,52.89,21.8,221.13,6.93,11.25,6.22,Medium
22.36,58.63,9.57,471.56,4.2,15.72,6.39,Low
40.44,52.73,15.28,1880.22,5.26,18.05,6.27,Medium
39.96,56.64,18.23,1248.2,7.8,5.24,5.72,Medium
32.15,32.35,57.64,810.14,4.83,14.67,5.58,Medium
12.29,42.59,31.6,2363.26,8.52,7.43,7.49,Low
37.56,61.17,36.83,2423.88,9.96,12.7,7.42,Low
30.35,41.19,41.37,1130.71,10.54,19.03,6.45,Low
32.91,59.79,36.79,2238.46,5.55,1.33,7.89,Low
33.23,64.39,53.46,201.51,6.25,3.88,6.96,Medium
21.18,58.46,29.9,743.7,6.12,14.53,6.37,Low
21.77,46.07,52.82,581.12,4.06,17.26,7.39,Low
15.77,89.96,42.82,1371.67,5.96,7.94,6.46,Low
18.7,94.97,54.47,2412.78,4.5,17.09,5.07,Low
19.07,79.59,38.32,522.05,4.62,15.82,5.05,Low
12.07,52.8,48.59,2046.66,7.89,6.16,6.94,Low
40.21,77.21,19.82,2219.33,7.65,13.69,4.98,High
21.74,37.56,52.24,2368.6,5.21,17.59,4.99,Low
29.71,55.88,43.29,1712.98,9.31,13.04,8.03,Low
37.6,42.95,63.44,1644.82,5.27,19.12,5.5,Low
30.97,70.71,11.2,524.0,9.28,4.62,7.66,Medium
31.89,54.96,25.06,688.65,8.1,4.31,5.14,Low
33.52,90.9,63.37,1325.61,7.58,9.65,7.69,Medium
16.96,74.83,52.86,954.84,8.96,5.02,5.21,Low
29.4,35.31,44.05,1141.12,9.7,9.37,5.38,Low
18.35,30.76,42.03,1842.67,9.33,8.54,6.81,Low
32.81,69.89,14.85,1593.56,8.56,15.35,8.04,High
12.11,60.25,47.42,1041.95,10.57,12.37,5.53,Low
22.33,91.12,22.76,105.11,5.29,13.19,7.41,High
19.18,75.23,12.11,2109.71,6.11,18.89,5.28,Low
37.69,29.81,55.99,375.4,10.7,10.72,6.89,Medium
32.01,37.07,55.4,612.57,4.87,6.92,7.02,Low
29.55,59.1,24.96,1626.03,8.99,19.86,5.01,Medium
36.15,59.8,17.31,2146.47,8.25,16.83,7.7,Medium
18.64,78.19,37.74,2022.3,6.78,16.07,5.61,Low
35.18,93.69,17.97,2227.73,10.99,15.21,6.11,Medium
17.28,31.5,51.51,1665.84,7.89,5.44,6.31,Low
28.36,78.69,38.28,1121.69,9.41,14.84,5.3,Medium
35.73,59.82,55.47,70.98,7.68,15.65,6.85,Medium
31.6,47.58,22.12,1625.16,9.09,7.66,6.83,Medium
41.79,65.93,53.01,2078.62,5.71,1.92,6.69,Medium
32.59,44.99,64.38,727.1,4.06,14.12,6.12,Medium
34.01,63.3,33.88,756.01,10.11,6.89,6.23,Low
39.01,63.8,59.74,849.23,9.08,19.52,7.16,Low
13.84,79.95,19.97,884.16,6.58,17.85,6.83,Low
41.11,28.89,50.09,710.35,6.24,15.99,5.59,Low
33.01,67.38,10.18,1928.31,10.43,5.57,6.23,Medium
14.11,56.61,13.64,1270.6,7.68,2.6,6.85,Medium
13.52,59.14,61.06,788.15,5.33,1.73,6.98,Low
29.24,59.52,32.61,37.61,7.48,6.41,4.83,Medium
22.93,30.21,20.55,1088.83,5.5,11.32,6.6,Medium
33.89,47.27,47.96,1407.02,9.04,12.94,7.71,Medium
30.12,87.44,11.76,1770.69,7.52,6.52,6.35,Low
19.72,86.73,64.84,1797.78,4.15,11.22,7.3,Low
31.67,72.85,34.44,301.1,7.18,6.23,6.42,Low
34.27,81.27,23.36,59.72,5.64,13.37,8.02,High
32.77,63.91,31.23,379.75,7.72,15.69,6.77,Low
16.85,76.78,52.02,1326.08,7.54,4.45,7.7,Low
22.42,55.4,49.04,2096.68,10.46,10.87,7.39,Medium
22.39,69.58,14.67,2497.23,4.73,7.52,6.29,Low
27.37,56.67,36.24,1421.95,4.98,17.3,6.2,Low
40.13,92.06,8.78,1224.02,6.92,8.27,7.37,Low
37.85,78.02,26.5,293.69,9.31,10.61,5.75,Medium
28.91,49.64,14.3,1080.46,4.76,7.52,7.71,Medium
30.55,90.56,23.14,1264.87,5.17,3.27,6.44,Low
36.47,46.57,44.0,1646.69,10.73,7.4,5.98,Low
16.61,88.43,54.97,698.94,10.76,19.92,6.19,Low
33.04,93.36,64.81,696.93,5.82,10.75,6.47,Low
41.08,54.5,54.59,488.02,5.97,9.73,6.83,Low
20.81,46.55,59.08,75.28,6.56,16.39,5.21,Medium
35.28,71.85,24.07,735.47,10.32,14.87,5.02,Medium
39.59,57.46,29.39,546.29,8.12,13.66,5.44,Medium
15.2,56.48,31.38,1306.61,5.87,9.34,5.9,Low
36.63,82.39,9.16,455.05,9.75,6.24,5.76,Low
30.28,42.68,49.64,1118.92,6.09,12.1,7.8,Low
36.28,31.71,36.19,1776.35,9.54,17.64,8.06,Low
39.52,74.51,45.13,902.4,9.23,5.66,6.48,Low
26.5,33.95,11.12,1841.71,4.6,5.77,7.93,Low
16.47,62.79,24.97,2022.6,6.19,8.22,5.58,Low
21.3,89.39,11.03,1866.46,9.6,3.43,5.66,Low
37.39,78.08,46.45,1758.01,7.1,5.21,6.87,Medium
16.95,33.59,49.35,2259.28,10.29,6.48,5.43,Low
29.33,85.16,60.56,814.82,4.83,11.92,5.24,Low
26.33,93.24,46.11,2296.11,7.92,15.36,5.59,Low
23.77,36.9,8.36,1086.58,8.06,12.84,5.43,Medium
18.42,85.41,12.82,580.48,6.99,2.01,4.83,Medium
41.99,72.89,29.69,254.44,8.25,18.29,5.82,High
32.94,63.21,26.43,1676.73,10.33,14.05,7.08,Low
18.69,60.03,18.84,320.35,9.32,14.49,6.22,Low
17.7,53.29,52.2,1079.72,9.24,12.16,6.83,Low
19.31,69.25,41.86,895.08,4.19,11.67,6.12,Low
23.55,63.17,46.66,1049.04,7.73,1.31,7.91,Low
16.41,71.75,23.76,166.34,5.74,3.67,5.41,Medium
15.91,47.41,53.74,2302.09,8.21,7.05,7.59,Low
40.88,50.16,52.85,2439.18,8.78,11.94,7.94,Medium
24.47,27.82,21.57,1878.93,7.0,18.54,5.66,Medium
33.51,88.24,11.48,1300.79,9.57,3.94,7.2,Medium
15.91,46.03,22.45,1332.35,6.76,14.4,6.85,Medium
41.16,80.37,14.48,2456.34,8.19,17.73,5.25,Medium
19.97,81.41,45.76,1245.54,4.59,12.93,5.21,Low
19.13,53.87,51.45,1558.77,8.28,1.61,5.06,Low
22.21,69.77,11.9,374.82,8.4,10.52,5.6,Medium
21.53,88.67,52.12,2065.36,9.62,4.24,7.65,Low
38.07,94.86,19.75,385.97,5.01,4.01,5.12,Medium
39.03,58.99,43.41,1235.14,8.47,6.22,7.3,Medium
37.45,35.39,61.23,1233.39,7.2,12.36,5.29,Low
17.92,71.35,18.4,2327.19,5.1,10.55,7.99,Medium
12.89,78.38,53.88,1052.68,10.08,6.05,7.96,Low
38.29,31.61,15.95,198.36,4.44,11.65,6.99,High
25.21,74.6,12.95,1778.97,5.43,1.8,8.0,Medium
20.51,75.56,59.85,1088.07,6.07,7.02,7.27,Low
28.09,55.91,36.76,1006.73,5.86,10.77,5.62,Medium
24.18,68.29,29.29,356.39,8.55,2.44,6.4,Low
20.51,31.84,48.39,1452.24,8.1,19.89,7.46,Low
15.26,61.65,54.43,1431.15,5.11,11.04,5.37,Low
20.54,92.08,62.86,1996.14,9.86,13.59,5.14,Low
26.81,94.86,35.54,125.6,9.35,6.09,5.38,Low
40.06,57.28,43.16,1755.97,8.68,18.6,7.35,Low
41.16,90.89,17.28,1695.35,10.8,1.74,4.96,Low
12.17,33.35,62.72,2221.52,6.84,0.95,5.39,Low
25.95,54.35,43.57,556.69,5.34,7.49,5.41,Low
39.3,73.22,8.56,500.72,7.59,11.28,6.81,Medium
40.87,79.12,54.16,2076.68,8.72,1.87,5.07,Low
12.31,40.57,21.88,2084.65,5.76,18.07,5.35,Medium
14.96,65.82,35.99,2371.4,10.08,10.46,5.68,Low
15.79,36.21,37.46,404.94,10.76,3.42,5.38,Low
17.57,60.72,55.57,911.66,8.49,15.05,5.29,Low
27.48,64.98,11.55,2117.48,7.75,5.16,7.97,Medium
33.02,52.98,22.55,957.64,8.73,0.54,6.61,Low
28.7,78.96,46.16,137.59,4.88,6.46,6.4,Low
18.74,25.21,26.8,2162.61,9.94,4.94,6.35,Low
21.29,68.28,48.28,2242.34,9.53,17.08,5.9,Medium
30.81,83.57,56.79,48.09,6.75,11.56,5.18,Medium
35.13,57.32,22.48,2065.99,10.38,16.03,5.31,Medium
29.33,26.28,64.84,1534.29,4.76,1.7,8.07,Low
26.4,58.74,56.18,1000.45,10.69,4.93,6.48,Low
15.73,59.37,56.42,914.39,6.56,14.78,8.01,Medium
20.92,35.74,23.47,547.61,6.05,17.36,7.55,Medium
29.51,64.99,17.04,2457.12,7.79,13.96,4.87,Low
19.85,77.73,40.96,152.64,10.76,18.99,8.07,Medium
32.67,56.04,13.31,1081.77,10.62,11.71,7.5,Medium
30.21,93.74,59.93,2091.41,4.86,19.36,5.14,Low
40.24,58.48,38.98,2052.53,9.63,10.53,7.87,Low
18.58,61.65,21.99,1083.37,5.32,16.32,8.17,Medium
28.59,25.19,46.05,1111.62,9.29,15.63,6.45,Medium
32.16,73.62,13.56,1021.92,10.29,16.46,5.09,High
21.8,54.45,49.77,2225.8,5.11,18.73,5.05,Medium
17.51,73.15,41.09,704.61,4.25,1.25,8.05,Low
16.0,63.75,42.69,292.44,6.64,17.83,6.59,Medium
26.52,81.91,63.85,1104.52,6.01,19.81,7.32,Low
40.58,89.46,24.01,1418.53,5.21,0.78,5.61,Medium
20.88,39.91,54.78,323.92,10.29,8.76,7.58,Low
15.62,45.04,51.5,1448.12,7.81,4.84,5.9,Low
18.34,72.45,41.48,1608.98,10.94,16.23,5.98,Low
18.63,56.6,57.59,1206.63,6.52,14.41,6.7,Medium
38.1,64.69,28.53,2086.72,9.39,15.02,4.87,Low
15.24,91.52,48.89,122.96,7.71,15.65,7.44,Low
17.69,61.88,63.83,1562.15,7.87,16.44,6.39,Low
28.92,61.21,57.07,54.61,8.67,12.8,5.85,Medium
25.54,80.18,13.03,1667.27,7.33,2.21,7.91,Medium
37.08,59.96,58.68,1610.06,5.05,2.51,7.63,Low
36.19,49.93,58.2,2338.13,4.98,2.02,4.93,Low
38.2,51.77,41.17,248.37,7.98,10.3,5.49,Medium
12.24,48.84,28.66,117.93,8.76,3.39,6.57,Low
40.13,41.66,61.33,1424.5,10.11,4.37,6.2,Low
36.55,83.27,63.04,1716.75,6.08,5.65,6.34,Low
23.26,86.89,39.46,104.08,7.19,1.74,5.76,Low
14.98,32.04,16.58,1513.16,7.39,6.83,7.97,Medium
18.12,45.55,38.68,801.26,8.35,0.62,7.72,Low
34.09,56.51,45.19,2248.37,7.15,12.78,6.11,Low
35.91,93.23,64.28,934.61,6.81,3.6,5.02,Low
28.73,90.13,17.24,2260.76,6.48,3.43,4.84,Low
14.34,91.28,34.71,1471.08,10.26,13.23,7.61,Low
21.89,80.63,63.69,542.23,10.85,19.48,4.86,Low
30.52,47.54,56.13,570.49,5.08,15.78,5.48,Medium
30.84,77.68,9.5,775.21,5.93,15.62,6.17,Medium
12.13,38.23,26.19,593.58,7.62,10.58,5.25,Low
14.82,78.69,59.76,2440.3,8.87,1.83,8.02,Low
24.92,85.48,56.07,1434.13,7.55,3.77,6.03,Low
19.61,71.11,54.89,307.53,7.67,14.84,6.2,Low
32.96,88.63,28.62,2476.41,10.39,8.77,5.12,Low
33.15,32.57,45.27,535.28,5.8,11.13,7.9,Low
30.59,54.96,13.32,2171.81,9.39,2.78,5.82,Medium
40.02,66.33,36.65,1421.79,8.4,19.21,7.26,Medium
13.18,66.66,13.21,2316.28,7.87,1.89,7.57,Low
27.89,92.79,24.46,1394.28,8.21,5.42,7.99,Low
40.29,85.43,34.64,986.85,7.79,8.79,7.75,Medium
39.78,47.78,31.72,2195.57,10.05,12.54,7.65,Low
21.27,32.03,8.03,792.31,6.42,19.05,5.93,Medium
37.4,30.27,9.3,1285.74,5.56,3.65,6.54,Medium
17.05,59.05,45.36,158.48,5.08,14.86,6.43,Medium
32.31,59.36,42.79,832.16,9.79,9.77,7.27,Low
20.7,80.85,43.49,2440.01,5.21,13.41,6.27,Low
13.39,40.37,56.11,1143.3,9.93,9.94,7.48,Low
19.44,43.46,10.14,660.54,9.19,3.54,7.68,Low
22.05,33.56,48.85,1936.05,9.24,18.51,7.14,Low
36.28,42.05,34.84,924.31,5.75,5.82,4.85,Low
13.41,64.4,42.68,716.72,4.05,13.45,6.0,Medium
12.59,64.87,35.91,1741.26,9.94,19.35,8.1,Low
35.03,57.55,14.6,1810.71,5.5,10.55,5.45,Medium
22.63,37.54,44.08,2414.31,6.97,10.42,4.98,Low
14.5,87.58,25.21,825.22,5.75,3.57,6.63,Low
40.27,71.35,52.31,2097.4,6.4,10.81,7.16,Medium
31.7,74.18,58.37,2322.44,6.52,17.57,8.11,Medium
22.33,52.99,21.36,1965.95,7.03,2.17,6.1,Low
38.88,38.48,25.25,638.83,10.5,4.89,6.52,Low
40.64,66.56,57.07,1657.22,10.46,8.59,5.11,Low
27.22,76.96,48.42,311.22,4.97,7.02,7.95,Low
12.66,37.63,28.46,1290.39,4.48,19.72,5.23,Medium
12.02,29.13,53.49,2106.35,7.86,7.22,5.17,Low
15.49,80.23,40.88,445.69,9.78,17.21,5.42,Low
35.49,38.28,14.47,2036.12,8.86,14.43,5.37,Medium
19.7,87.08,55.25,578.37,9.22,17.43,6.26,Low
12.23,36.02,47.08,1746.71,4.44,8.09,5.05,Low
41.75,93.0,17.45,808.3,8.04,11.47,6.35,Medium
40.8,44.19,42.81,140.34,5.05,13.31,5.87,Medium
32.08,81.59,24.78,766.38,7.16,12.61,7.93,Medium
29.7,66.94,56.68,249.37,7.23,10.03,5.06,Medium
39.29,87.11,26.72,1927.15,4.54,13.18,5.2,Low
22.73,93.04,41.27,843.83,4.59,13.9,7.61,Low
20.55,38.49,61.17,1538.38,10.13,6.81,5.62,Low
